2.3,0.001830849610939822
2.35,0.0012054098871203678
2.4,0.0007436103599047783
2.45,0.0004107738952257023
2.5,0.00017823897132984712
2.55,2.239909815671126e-05
2.6,-7.602960636177158e-05
2.65,-0.00013259782377872398
2.7,-0.0001596376017687362
2.75,-0.00016672334078293716
2.8,-0.00016110364936139376
2.95,-0.00011382586399122374
3.0,-9.671880985706593e-05
3.05,-8.110698649943515e-05
3.1,-6.744103120581713e-05
3.15,-5.5846912630386214e-05
3.2,-4.6247234024576755e-05
3.25,-3.845001970148587e-05
3.3,-3.2210702329393825e-05
3.35,-2.7273064233668265e-05
